time,obj,status,MM_Var,MM_loss,NSW,Total_Var,n,gap,d,rank,Loss0,Var0,Best0,Loss1,Var1,Best1,Loss2,Var2,Best2,Loss3,Var3,Best3,Loss4,Var4,Best4
11.81694984,-3.817592187,optimal,0.92028958,-3.817592188,2.056379134,14.45155148,59,7.82E-09,1,1,-3.817592188,8.057435195,11.87502738,-3.817592187,0.92028958,4.737881767,-2.718087277,1.43359088,4.151678157,-3.817592188,2.808614227,6.626206414,-3.207862757,1.231621596,4.439484353
16.00653458,-4.262468289,optimal,4.138790487,-4.262468289,5.831341169,32.09427714,59,6.40E-09,2,3,-4.262468289,11.96823349,16.23070178,-4.262468289,4.29872299,8.561191279,-3.146724527,4.138790487,7.285515014,-4.262468289,7.421918468,11.68438676,-2.729048685,4.266611703,6.995660388
12.22929692,-4.547611492,optimal,5.986793525,-4.547611492,8.599741972,46.36818159,59,3.45E-09,3,3,-4.547611492,15.13300432,19.68061581,-4.547611492,7.145270232,11.69288172,-4.275823633,6.006602271,10.2824259,-4.547611492,12.09651125,16.64412274,-3.312854431,5.986793525,9.299647956
11.44344449,-4.924936204,optimal,7.604846544,-4.924936202,11.17172851,59.58001564,59,1.36E-08,4,4,-4.924936202,17.90178443,22.82672063,-4.924936202,9.593355428,14.51829163,-4.924936201,8.168784841,13.09372104,-4.924936202,16.3112444,21.2361806,-3.701813518,7.604846544,11.30666006
11.12262082,-5.299218814,optimal,9.270965871,-5.299218812,13.66596413,72.28941557,59,1.64E-08,5,5,-5.299218812,20.395821,25.69503981,-5.299218812,11.8372177,17.13643652,-5.299218812,10.49561508,15.79483389,-5.299218812,20.28979592,25.58901473,-3.7662802,9.270965871,13.03724607
11.20073175,-5.554066231,optimal,10.58437012,-5.554066229,15.94159031,84.09153547,59,1.26E-08,6,6,-5.554066229,22.68460428,28.23867051,-5.554066228,14.08704194,19.64110817,-5.554066229,12.62525865,18.17932487,-5.554066229,24.11026048,29.66432671,-3.983290021,10.58437012,14.56766014
11.32256365,-5.663438392,optimal,11.95500671,-5.663438391,18.14937054,95.4996398,59,6.38E-09,7,7,-5.66343839,24.87540687,30.53884526,-5.66343839,16.41223819,22.07567658,-5.663438391,14.57600435,20.23944274,-5.663438391,27.68098368,33.34442207,-4.08676197,11.95500671,16.04176868
14.50651312,-5.754939137,optimal,13.38214533,-5.754939135,20.31218374,106.5541211,59,5.52E-09,8,8,-5.754939135,27.02787626,32.78281539,-5.754939135,18.72599421,24.48093334,-5.754939135,16.52479551,22.27973464,-5.754939135,30.89330981,36.64824894,-4.071000843,13.38214533,17.45314617
12.06858397,-6.002898435,optimal,14.74512971,-6.002898432,22.21521597,116.2557587,59,6.18E-09,9,9,-6.002898432,28.93547177,34.9383702,-6.002898432,20.74631903,26.74921746,-6.002898432,18.14988677,24.15278521,-6.002898432,33.67895145,39.68184988,-4.014752831,14.74512971,18.75988254
10.79000783,-6.134926496,optimal,16.20076309,-6.134926492,24.06639817,125.4652705,59,8.33E-09,10,10,-6.134926492,30.8331095,36.96803599,-6.134926492,22.68350344,28.81842993,-6.134926492,19.84622557,25.98115206,-6.134926492,35.9016689,42.03659539,-3.841598063,16.20076309,20.04236116
12.56683731,-6.275580045,optimal,17.62726701,-6.275580042,25.81759841,134.1638208,59,4.98E-09,11,11,-6.275580042,32.61979731,38.89537735,-6.275580042,24.45410603,30.72968607,-6.275580042,21.47335844,27.74893848,-6.275580042,37.98929204,44.26487208,-3.667807894,17.62726701,21.29507491
13.35257554,-6.438464972,optimal,18.89346509,-6.438464966,27.40612546,142.0679751,59,1.07E-08,12,12,-6.438464966,34.17256787,40.61103284,-6.438464966,26.03413521,32.47260018,-6.438464966,23.03346667,29.47193163,-6.438464966,39.93434031,46.37280527,-3.586354811,18.89346509,22.4798199
11.51044273,-6.563000877,optimal,20.11229991,-6.563000873,28.95985035,149.8114262,59,6.13E-09,13,13,-6.563000872,35.70753674,42.27053762,-6.563000873,27.5926394,34.15564027,-6.563000873,24.58160495,31.14460582,-6.563000872,41.81734521,48.38034609,-3.533235654,20.11229991,23.64553556
11.64382768,-6.686603584,optimal,21.3997525,-6.686603583,30.48657441,157.3650266,59,2.49E-09,14,14,-6.686603583,37.18273947,43.86934305,-6.686603583,29.077043,35.76364658,-6.686603583,26.10914799,32.79575158,-6.686603583,43.59634369,50.28294727,-3.390248522,21.3997525,24.79000102
12.55730438,-6.802431465,optimal,22.48858923,-6.802431461,31.90382681,164.4354533,59,5.89E-09,15,15,-6.802431461,38.63852049,45.44095195,-6.802431461,30.50124835,37.30367981,-6.802431461,27.56709153,34.36952299,-6.802431461,45.24000374,52.0424352,-3.434664033,22.48858923,25.92325326
11.80635738,-6.888237698,optimal,23.63989852,-6.888237696,33.29791286,171.3385248,59,3.02E-09,16,17,-6.888237696,40.06626718,46.95450488,-6.888237696,31.88160596,38.76984366,-6.888237696,28.98836122,35.87659891,-6.888237696,46.76239188,53.65062958,-3.405560028,23.63989852,27.04545855
11.05108714,-6.935925944,optimal,24.79646271,-6.935925939,34.6871563,178.1922713,59,5.79E-09,17,17,-6.935925939,41.46789477,48.40382071,-6.935925939,33.27170149,40.20762743,-6.935925939,30.44551825,37.38144419,-6.935925939,48.21069412,55.14662006,-3.364520768,24.79646271,28.16098348
11.7279942,-6.951573187,optimal,25.8767334,-6.951573182,36.01753523,184.7684304,59,5.92E-09,18,18,-6.951573182,42.83620966,49.78778284,-6.951573182,34.59432187,41.54589505,-6.951573182,31.88197328,38.83354646,-6.951573182,49.57919215,56.53076534,-3.380440205,25.8767334,29.25717361
10.43668199,-6.971260413,optimal,27.17790505,-6.971260402,37.36964629,191.3505509,59,1.27E-08,19,19,-6.971260402,44.12451057,51.09577097,-6.971260402,35.88750596,42.85876636,-6.971260402,33.28442904,40.25568944,-6.971260401,50.87620029,57.8474607,-3.157147303,27.17790505,30.33505235
10.86628699,-6.955189855,optimal,28.34514765,-6.955189841,38.6514441,197.6258899,59,1.62E-08,20,20,-6.95518984,45.33175363,52.28694347,-6.955189841,37.14502068,44.10021052,-6.95518984,34.66336668,41.61855652,-6.95518984,52.14060123,59.09579107,-3.056769373,28.34514765,31.40191702
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.18241791,-4.454159666,5.864983104,32.285974,,,2,2,,,,,,,,,,,,,,,
,,,23.62573151,-6.972608521,33.30816071,171.3959609,,,16,16,,,,,,,,,,,,,,,
